ds,yhat
2023-01-01,1.197946587254158
2023-01-02,1.5188735031922436
2023-01-03,1.493531910647929
2023-01-04,1.4805870486269719
2023-01-05,1.5400189876359034
2023-01-06,1.5595190224111146
2023-01-07,1.2484649242384376
2023-01-08,1.205556985237597
2023-01-09,1.5185380394755303
2023-01-10,1.4850336240989372
2023-01-11,1.4638806849523012
2023-01-12,1.5152331572343267
2023-01-13,1.5269545390697519
2023-01-14,1.2085893091799083
2023-01-15,1.1589952120926899
2023-01-16,1.4660596869473317
2023-01-17,1.4275366920332477
2023-01-18,1.402372413809485
2023-01-19,1.450808268394205
2023-01-20,1.4607713816842458
2023-01-21,1.1418444565778847
2023-01-22,1.0928970952500898
2023-01-23,1.401801882911865
2023-01-24,1.3662715003500179
2023-01-25,1.3451853533393034
2023-01-26,1.3986941100683663
2023-01-27,1.414612300213389
2023-01-28,1.1023908360507644
2023-01-29,1.0607514614694744
2023-01-30,1.3774063603356606
2023-01-31,1.3498991055978793
2023-02-01,1.3369353424647077
2023-02-02,1.3984914956731849
2023-02-03,1.4222115493578906
2023-02-04,1.1173836539663442
2023-02-05,1.0825784616535417
2023-02-06,1.4053723218167073
2023-02-07,1.3831914255344697
2023-02-08,1.3746452093929669
2023-02-09,1.4396372379154512
2023-02-10,1.4657635563141884
2023-02-11,1.1622902268984807
2023-02-12,1.127791926302685
2023-02-13,1.4498747285606763
2023-02-14,1.4260191740547998
2023-02-15,1.4149119638155265
2023-02-16,1.4765545443498387
2023-02-17,1.4986586365858372
2023-02-18,1.1906204983059445
2023-02-19,1.1511558857943596
2023-02-20,1.468018937511933
2023-02-21,1.438841185755553
2023-02-22,1.4224591454134865
2023-02-23,1.4790188563204105
2023-02-24,1.4963675424285752
2023-02-25,1.1840242821560094
2023-02-26,1.1408117528496582
2023-02-27,1.4545723597093974
2023-02-28,1.4230050291479053
2023-03-01,1.4049911755488036
2023-03-02,1.460698261054081
2023-03-03,1.477971137049472
2023-03-04,1.1663030687249847
2023-03-05,1.1244684939664238
2023-03-06,1.440240796850232
2023-03-07,1.4112313280746827
2023-03-08,1.396218117306937
2023-03-09,1.455252618641792
2023-03-10,1.476054586974423
2023-03-11,1.1679868860332268
